State,Year,Adult.Obesity,Adult.Obesity*100,Average.Age,Average.Income,Population,Poverty.Rate,Poverty.Rate*100,Real.GDP,Real.GDP.Growth,Real.GDP.Growth*100,Real.Personal.Income,Region,Region.Encoding,Unit,Real.GDP.Per.Capita,YearFE
Indiana,2017,0.317000002,31.7,38.29444512,28224.28091,6666818,0.134792089,13.48,320084.2,0.0157,1.57,317709.3,Great Lakes Region,3,Millions of chained 2012 dollars,0.04801154,2017
Iowa,2014,0.294999987,29.5,38.72854368,28430.14938,3107126,0.122407156,12.24,164720.8,0.0516,5.16,150185.2,Plains Region,4,Millions of chained 2012 dollars,0.053013878,2014
Iowa,2015,0.298999995,29.9,38.83829311,29018.00387,3123899,0.12158687,12.16,168252.1,0.0214,2.14,155966.8,Plains Region,4,Millions of chained 2012 dollars,0.053859648,2015
Iowa,2016,0.307000011,30.7,38.91666839,30341.08028,3134693,0.117564587,11.76,168909.1,0.0039,0.39,156148.4,Plains Region,4,Millions of chained 2012 dollars,0.053883777,2016
Iowa,2017,0.312999994,31.3,38.90350735,30953.90686,3145711,0.10728072,10.73,168332.1,-0.0034,-0.34,157475,Plains Region,4,Millions of chained 2012 dollars,0.053511623,2017
Kansas,2014,0.30399999,30.4,37.37705857,27854.26011,2904021,0.135644643,13.56,143154.2,0.0189,1.89,145757,Plains Region,4,Millions of chained 2012 dollars,0.049295167,2014
Kansas,2015,0.303000003,30.3,37.623083,29241.23835,2911641,0.130302518,13.03,144931.7,0.0124,1.24,148662.8,Plains Region,4,Millions of chained 2012 dollars,0.049776638,2015
Kansas,2016,0.301999986,30.2,37.69496772,28936.07205,2907289,0.12121744,12.12,148249.1,0.0229,2.29,147993.1,Plains Region,4,Millions of chained 2012 dollars,0.050992213,2016
Kansas,2017,0.307999998,30.8,37.94803549,30312.84906,2913123,0.119010347,11.90,149420.7,0.0079,0.79,149752.5,Plains Region,4,Millions of chained 2012 dollars,0.051292273,2017
Kentucky,2014,0.324999988,32.5,38.46229883,23879.26208,4413457,0.191221837,19.12,179752.5,0.002,0.2,183101.2,Southeast Region,5,Millions of chained 2012 dollars,0.040728277,2014
Kentucky,2015,0.32100001,32.1,38.70955881,25222.42515,4425092,0.185093456,18.51,180679.3,0.0052,0.52,189710.4,Southeast Region,5,Millions of chained 2012 dollars,0.040830631,2015
Kentucky,2016,0.323000014,32.3,38.71697896,26047.12713,4436974,0.184710091,18.47,181614.3,0.0052,0.52,192882.5,Southeast Region,5,Millions of chained 2012 dollars,0.040932018,2016
Kentucky,2017,0.328999996,32.9,38.86620774,26627.37441,4454189,0.172400581,17.24,183566,0.0108,1.08,196801.6,Southeast Region,5,Millions of chained 2012 dollars,0.041211992,2017
Louisiana,2014,0.340000004,34,37.23429525,24843.97106,4649676,0.198410765,19.84,231841.2,0.0231,2.31,212379,Southeast Region,5,Millions of chained 2012 dollars,0.049861797,2014
Louisiana,2015,0.340999991,34.1,37.48253804,25424.22816,4670724,0.195950492,19.60,231325.9,-0.0022,-0.22,215590.9,Southeast Region,5,Millions of chained 2012 dollars,0.049526776,2015
Louisiana,2016,0.342999995,34.3,37.6594725,25823.53358,4681666,0.201976147,20.20,228526.4,-0.0121,-1.21,213130.1,Southeast Region,5,Millions of chained 2012 dollars,0.048813051,2016
Louisiana,2017,0.344999999,34.5,37.88575449,26010.45294,4684333,0.19745919,19.75,228678.1,7.00E-04,0.07,215828.2,Southeast Region,5,Millions of chained 2012 dollars,0.048817644,2017
Maine,2014,0.277999997,27.8,41.83922129,28049.88079,1330089,0.14125945,14.13,53417.6,0.0174,1.74,55287.3,New England Region,1,Millions of chained 2012 dollars,0.040160922,2014
Maine,2015,0.279000014,27.9,42.19439897,28414.09886,1329328,0.133503893,13.35,53605.9,0.0035,0.35,56871.2,New England Region,1,Millions of chained 2012 dollars,0.040325563,2015
Maine,2016,0.279000014,27.9,42.11919227,29567.58153,1331479,0.12480912,12.48,54707.4,0.0206,2.06,58255.7,New England Region,1,Millions of chained 2012 dollars,0.041087693,2016
Maine,2017,0.282000005,28.2,42.42532077,30838.04568,1335907,0.110674938,11.07,55617.1,0.0166,1.66,59852.2,New England Region,1,Millions of chained 2012 dollars,0.041632464,2017
Maryland,2014,0.280999988,28.1,38.21914789,36341.49469,5976407,0.101076246,10.11,338706.8,0.0113,1.13,287923.5,Mideast Region,2,Millions of chained 2012 dollars,0.056673985,2014
Maryland,2015,0.284000009,28.4,38.38052205,37762.78966,6006401,0.097347394,9.73,344454.2,0.017,1.7,303388.3,Mideast Region,2,Millions of chained 2012 dollars,0.057347853,2015
